_id,question,answers
09bf7072,What are foods that prevent heart disease and stroke?,"20 Foods That Can Help Prevent Heart Disease
1 – Fresh Herbs
When you add these to foods instead of salt and fat, you’re making a heart-healthy choice. They add flavor without the bad stuff. Spices and other foods are delicious ways to eat heart-smart.
2 – Black Beans
Mild, tender black beans are packed with heart-healthy nutrients. Folate, antioxidants, and magnesium can help lower blood pressure. Their fiber helps control both cholesterol and blood sugar levels. Add beans to boost soups and salads.
Prep Tip: Rinse canned beans to remove extra salt.
3 – Red Wine and Resveratrol
If you drink alcohol, a little red wine may be a heart-healthy choice. Resveratrol and catechins, two antioxidants in red wine, may protect artery walls. Alcohol can also boost HDL, the good cholesterol.
Tip: Too much alcohol hurts the heart. Don’t have more than one drink a day for women or two drinks for men. It’s best to talk to your doctor first. Alcohol may cause problems for people taking aspirin and other medications.
4 – Salmon: Super Food
A top food for heart health, it’s rich in omega-3s. Omega-3s are healthy fats that may lessen the risk of heart rhythm disorders and lower blood pressure. They may also lower triglycerides and curb inflammation. The American Heart Association recommends two servings of salmon or other oily fish a week.
Cooking Tip: Bake salmon in foil with herbs and veggies. Toss extra cooked salmon in fish tacos and salads.
By The Way There is More
Source: NY Times"
9d76154c,"Is it true that there is no proof of cholesterol lowering drugs lowering the rates of heart attacks and strokes? Instead, there is proof that consuming cholesterol lowering drugs contributes to the risks of having other diseases like diabetes, etc.","I am a scientist, and the only thing that matters to me is evidence, and quality of evidence matters most. Although your question is prejudicial, I will try to answer it nevertheless.
Firstly, there actually is robust evidence that cholesterol lowering drugs, called statins, have a statistically significant causal effect on lowering the risk of cardiovascular disease. A systematic review (considered the pinnacle on the hierarchy of biomedical research
), published by the Cochrane Collaboration
, concluded that:
Of 1000 people treated with a statin for five years, 18 would avoid a major CVD event which compares well with other treatments used for preventing cardiovascular disease. Taking statins did not increase the risk of serious adverse effects such as cancer. Statins are likely to be cost-effective in primary prevention.
Systematic reviews roll up results from a large number of clinical studies, in this case 19 studies, to remove bias and other issues. In this case, statins clearly save lives.
Furthermore, the standard of care of most healthcare plans state that aggressively treating cholesterol in patients leads to better outcomes. Which means the healthcare plan is spared the expense of paying for angioplasty, stents, bypass surgery, and other expensive medical procedures.
As for stroke, statins have shown no significant causal effect on the risk of stroke. However, modern evidence-based medicine attacks stroke risk independent of cholesterol levels.
With respect to adverse effects,
there is no robust evidence that supports a causal effect between statin use and diabetes. In fact, diabetes is, in itself, linked to cardiovascular disease.
there is no robust evidence of a causal link between statins and cancer.
there is some evidence of rare and reversible cognitive decline with the use of statins. Once it is recognized by the physician, the FDA urges that the patient not receive the medication any longer.
there is also some evidence of muscle pain with the use of statins. However, there are a lot of confounding factors, like diabetes and high blood pressure, which could be linked to the muscle pain.
I know it’s cool for some people to criticize the use of statins because of some huge Big Pharma conspiracy. Unfortunately for them, the real scientific and clinical evidence contradicts those claims.
Oh one more thing. Science doesn’t “prove” anything – it makes provisional conclusions based on evidence supporting or nullifying a hypothesis.
Mathematics, albeit a science, uses proofs, which are inferential arguments within a mathematical statement."
4c13b768,"How do I prevent hypertension, heart disease, diabetes and stroke?","IHigh blood pressure is also known as hypertension. Blood pressure is the amount of force exerted by the blood against the walls of the arteries as blood flows through them.
blood pressure is the most common problem which is faced by 30% of the population of the world.
If left untreated or uncontrolled, high blood pressure can cause many health problems. These conditions include heart diseases, vision loss, stroke, and kidney disease ,
Causes
The risk of developing hypertension increases as people age.
The heart is a muscle that pumps blood around the body.
Blood that has low oxygen levels is pumped towards the lungs, where oxygen supplies are replenished. The oxygen rich blood is then pumped by the heart around the body to supply our muscles and cells. The pumping of blood creates pressure.
If a person has high blood pressure, it means that the walls of the arteries are receiving too much pressure on a constant basis.
The causes of high blood pressure are divided into two categories:
Essential high blood pressure: This has no established cause.
Secondary high blood pressure: There is an underlying cause.
Even though there is no identifiable cause for essential high blood pressure, there is strong evidence linking some risk factors to the likelihood of developing the condition.
Most of the causes below are risk factors for essential high blood pressure. There are also examples of secondary high blood pressure:
1) Age
The older you are the higher your risk of having high blood pressure. www.healthpot9.blogspot.com"
760baea9,What type of disease is a stroke?,"A stroke occurs when a blood vessel in the brain ruptures and bleeds, or when there’s a blockage in the blood supply to the brain. The rupture or blockage prevents blood and oxygen from reaching the brain’s tissues.
According to the Centers for Disease Control and Prevention (CDC), stroke is the fifth-leading trusted Source cause of death in the United States. Every year, more than 795,000Trusted Source U.S. people have a stroke."
840594b8,Is a stroke considered coronary artery disease?,"It is not. Coronary arteries supply blood to the heart tissue only. Strokes occur in the brain, far away from the heart.
However, both result from ischemia in the target organ and are caused by very similar mechanisms of hypertension that primes arteries for atherosclerosis which decreases blood supply to tissues, and unstable plaque, ruptured by hypertension, that then forms a clot which blocks blood delivery to either a part of the brain to provoke a stroke or an area of the heart to provoke a heart attack. Hemorrhagic strokes are also common.
A stroke is a cerebral artery (cerebrovascular) disease or an ischemic brain disease while a heart attack or angina pectoris is a coronary artery or an ischemic heart disease. Both are cardiovascular diseases as they involve the heart’s action on blood vessels and blood vessel’s impact on the heart’s action."
bef45c2b,What is the mechanism of action of citicoline? Why is it used in the treatment of Alzheimer's disease and stroke?,"Citicoline (Cytidine-5′-diphosphocholine or CDP-choline), an intermediate in the biosynthesis of phosphatidylcholine (PtdCho), is one of the cell membrane components that is degraded during cerebral ischaemia to free fatty acids and free radicals.[1]
It increase the brain phosphatidylcholine, which is important for brain function. The therapeutic action of citicoline is thought to be caused by stimulation of PtdCho and sphingomyelin synthesis, and by inhibiting the destructive processes (activation of phospholipases)in the ischemic brain[2]
Citicoline neuroprotection may include-
preserving cardiolipin (an exclusive inner mitochondrial membrane component) and sphingomyelin;
preserving the arachidonic acid content of PtdCho and phosphatidylethanolamine;
partially restoring PtdCho levels;
stimulating glutathione synthesis and glutathione reductase activity;
attenuating lipid peroxidation;
restoring Na+/K+ATPase activity.[3]
Citicoline also provides choline for synthesis of neurotransmitter acetylcholine, stimulation of tyrosine hydroxylase activity and dopamine release.
Citicoline: (a) acetylcholine, PtdCho, AdoMet and GSH biosynthesis and (b)␣sphin- gomyelin synthesis.[4]
Footnotes
[1] Cytidinediphosphocholine (CDP-choline) for cognitive and behavioural disturbances associated with chronic cerebral disorders in the elderly.
[2] Citicoline: neuroprotective mechanisms in cerebral ischemia
[3] Citicoline: neuroprotective mechanisms in cerebral ischemia
[4] Citicoline: neuroprotective mechanisms in cerebral ischemia"
5526115b,What's the point of learning a new language if you can get Alzheimer's disease or have a stroke and lose all of that knowledge?,"What's the point of being awake? What's the point of knitting? What's the point of cooking? What's the point of a hot bath? What's the point of watching Doctor Who? What's the point of falling in love? What's the point of literally anything?
Things have value intrinsic to themselves and to you, at that time and place in your life. That they may not be as important in a different time and place in your life is both okay and, I feel that this is important to say, doesn't negate their value they held. They still hold that value, and they always will.
Why? Experience changes us. Surely that means something. Experience means the exact people that we influence directly and indirectly are influenced pretty directly by our experiences in life.
I learned ASL as a Deaf child of 13. From that led to this very moment right now where I'm writing this, fully aware that that choice affected every choice from there. It has meaning and it has value."
2357315a,Can sickle cell disease cause a stroke?,"Yes lack of oxygen from the sickled red blood cells can cause stroke, children are checked from 2 to 17 to see if they have a propensity for stroke by using transcranial doppler testing. If found that they are likely to having a stroke they begin chronic blood transfusions or blood exchanges in effort to keep the oxygen flowing consistently to the brain."
d9421e2d,"Does eating one meal a day cause diabetes, stroke and heart disease?","It depends not only on how often you eat, but also in what you eat. If you don’t eat fast-absorbing carbohydrates (as in refined flour, white rice, potatoes) and instead eat fat, protein and fiber rich meals (or slow carbs like in lentils, beans or chick peas), your blood sugar will not have big spike.
These foods are also more filling than carbohydrate rich foods and will help control hunger better, not the other way around.
I would not eat once a day because I like stopping for a meal (and eating) and I don’t see many advantages to eat besides time saving.
That being said, the refered article is vague and outdated in my opinion, as it does not make any reference to which kind of diet it is talking about."
a77dcfa4,Which autoimmune disease can cause a stroke?,"Behçet's disease (BD) can cause stroke. It’s a chronic, systemic vasculitis that can cause stroke.
Any vascular disease affecting multiple systems increases the chance of TIAs or stroke
Others include:
Buerger's Disease (Thromboangiitis Obliterans)
Eosinophilic granulomatosis with polyangiitis (EGPA, formerly known as Churg Strauss)
Cryoglobulinemia.
Giant Cell Arteritis
Henoch-Schönlein Purpura
Microscopic Polyangiitis
Polyarteritis Nodosa
Polymyalgia Rheumatica
Rheumatoid Vasculitis
Takayasu’s Arteritis
Granulomatosis with Polyangiitis (GPA, formerly known as Wegener’s)
I will have missed many other Vasculitis. For instance, Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) should be included even though it’s technically not multi-system, but is contained as vasculitis mainly in the brain.
Cerebral Autosomal Dominant Arteriopathy (CADASIL)"
207f692f,My mother's obese. She is a recovering stroke patient and has coronary heart disease. How can I know if she's taken in just enough food in her diet?,
ba51f51a,Is heart stroke a disease?,
490fe01e,"What does it mean to die from heart disease that is not a stroke, when you have diabetes?",
443c1b68,How do I avoid heart disease with a long family history of heart attacks and stroke?,
62c4c341,"Why is it that female hormones are thought to protect against heart disease, but to be the cause of strokes?",
d3a85695,Can a sudden start to exercise after months of physical inactivity cause a heart disease/stroke?,
741c5766,How do you start to reverse heart disease without risking a stroke?,
2a7783f6,Are there specific CPT codes for stroke and heart disease to report to my insurance company claim that covers stroke and heart disease?,
8bfc00a8,Are strokes related to ischemic heart disease?,
5b8ac0b1,"How are hypertension, heart disease, and stroke related?",
59af7840,"What do you think of the Norwich Medical School study that Omega-3 fish oil supplements offer ""little or no benefit against cancer and heart disease"" and no benefits at all against diabetes, anxiety, depression, and stroke?",
6d58630f,Should a patient who've recently had a stroke also get evaluated for asymptomatic coronary artery disease?,
697187f1,What should be the everyday vegetarian diet plan for preventing heart disease?,
d73fd35c,"What are some herbs to eat that are known to protect against heart disease, heart attacks, and strokes?",
f78fd3de,"What is the outcome of a disease called? For example, what would the tumor be called in cancer or a stroke be classified as, strokes and tumors are caused by disease and not diseases.",
2bd77c9b,"What tests should I have, and how often, to monitor my risk factors for developing heart disease and stroke?",
28171918,How many diseases can occur due to a stroke?,
6639c624,Why are cancer patients at a higher risk of dying from heart disease and stroke?,
46822b19,"The use of gene therapy in fighting disease has been incredibly powerful, particularly in cancer. What diseases are being fought by gene therapy today? How will such therapy medicine in the next two decades?",
c04ad8c9,"I have neuropathy, heart disease, diabetes, high blood pressure and have had numerous strokes. How can I exercise?",
afdaef13,"Does it make sense for God to make a planet where humans get painful diseases and why would he do that? Cancer, coronavirus, strokes, dementia. Thoughts?","If I may, I’d like to answer with a few starting assumptions that can lead you to an answer to your question based on the beliefs and knowledge that gave meaning and joy to the lives of three good women we’ve lost this last year, at least during our time on earth.
Here are the beliefs that I know all three shared that can serve as a starting point (premises, if you will) for your consideration of the answer I’d like to offer at the end:
God is the embodiment of perfect love
We are God’s children in the sense that God is the Father (Creator) of our spirits, having created us from eternal, pre-existing intelligence - namely the raw energy of our will, mind, and awareness.
God gave us free will from the beginning of our existence as spirits.
In God’s glorious presence, where there can be no evil, pain, suffering, illness or death, our innocent spirits could never have learned good from evil because there was no evil.
God created this Earth to be separate from God’s presence, as a training and proving ground for His children. We are living in a fallen state as a result of the transgression of the first of God’s children - Adam and Eve - when God put the “breath of life” (spirits created by God) into their homo sapiens human bodies.
God has given each of us free will and innate moral sensibilities to accompany the gifts of reason, intelligence, and creative capacity in this life to LEARN good from evil and the consequences of each. Good = Peace, love, joy, truth, faith, and life. Evil = Conflict, hatred, lies, pain, suffering, and death. Etc.
We all sin, and are thus forever unworthy.
So God sent His Son to a human mother in order to atone for our sins and take upon Himself the infinite sufferings and pain and injustice from all the sins and evil of all mankind, that we can repent of our sins and through baptism accept God’s grace and the cleansing power of the symbolic blood He shed for us.
Through faith, learning, and prayer, we gain access to incredible truths about this temporary state we’re in that teach us to choose the good (which comes from God) and eschew the evil (which comes from the Father of Lies, aka Satan).
So illness, disease, suffering, and more are a natural result of the fact that we are living in a fallen state.
As we are now learning (through the work of Dr. Martin Seligman and the Positive Psychology
movement), science is beginning to catch up with and reinforce the positive principles of hope, optimism, and positive thinking - consistent with what I’ve learned from the time I was a child as a member of The Church of Jesus Christ of Latter-day Saints, which principles I’ve articulated above.
Even if you’re currently hostile towards religion, you might want to consider that science and common sense will tell you that there are certain beliefs and attitudes and knowledge that help anyone thrive even under whatever difficult conditions or circumstances that life may throw at us. Even the threat of impending death need not hold us as victims bound by fear. I will soon share examples.
I would simply assert in all sincerity that anyone who has faith in a loving God who will help us overcome evil, pain, and suffering has an enormous head start in being positive, thriving, and recovering no matter what may come our way.
In the past year, I lost my mother-in-law (March ‘20), favorite aunt (August ‘19), and sister-in-law (July ‘19) - all to cancer, although I believe my mother-in-law died from undiagnosed COVID-19, since three of her caregivers tested positive, and one, her son, was hospitalized with COVID-19 and thankfully recovered).
My point is that every one of those noble women faced their death with faith, peace of mind, hope and joy. There is no reason whatsoever that we must view cancer, coronavirus, strokes, or dementia or any of the trials of this life with fear, angst, or bitterness.
Instead, trust in God’s love and His promises of eternal life through the salvation offered by His Son, Jesus Christ. Turn away from the nihilistic betrayal of hope represented by the modern lies perpetrated by the foolish who define faith as belief in that which is contrary to reason rather than the way God defines faith: as trust in those truths that can’t be seen (i.e. known by the senses and logic alone). There is no conflict between faith and reason, or between true religion and true science.
So consider instead the faith, hope, and love offered by these loved ones we’ve lost this past year:
My Mother-in-law, Ann Danes.
My mother-in-law, Ann Danes, a widow, spoke of her longing to once again embrace her parents and husband in the spirit world after her release from this mortal “vale of tears.”
I’ll never forget the blessing of her visiting us here in Utah not long before her diagnosis, and the wisdom she shared with our family.
While in hospice care, she had a steady stream of friends and family visiting her and caring for her. She was playing the piano for as long as she had strength. To know Mom was to love her.
On Christmas, in the cold of Kuna, Idaho, she insisted we bundle her up and push her around in her wheelchair, surrounded by most of her 8 children and a lot of grandchildren, as we visited home after home singing the carols of hope and joy in the advent of a baby 2,000 years ago who would save us all from death and those who repent from sin.
She was a great lady, and when she hugged you, you KNEW you were loved.
My Wife Kathy with her sister, Annette Hiatt
My sister-in-law, Annette Hiatt, a cancer survivor since the ‘90s, inspired so many in the support groups she frequented, and changed the nature of the hospice care she was given, that they will be naming a care facility after her in Idaho Falls.
Annette inspired all of us during her decades-long fight with cancer, with her love of life, her readiness to laugh, her unfailing service to everyone fortunate enough to be around her, and all she did for her eight children and can’t-count-em-all grandchildren. My favorite memory is when she visited her gravesite and asked for a picture of her to be taken laying on her plat. Can’t find that picture, but this one gives you a good feel for her indominitable sense of humor about the lung cancer (that started as breast cancer) that made it so hard for her to breathe and ultimately took her life:
Note the sign that says “Out of Order.”
My aunt Darla touched tens of thousands of lives through her writing while she was alive, and continues to bless lives with her writing even now that she’s gone. Read what my beloved aunt wrote about her decision on how to spend the last few months of her life, and the courage behind her faith: What My Journey with Cancer Is Teaching Me
.
My Aunt, Darla Larsen Isackson
Darla was not spared the trials of life, from the time she was scalded by a kettle of boiling milk as a toddler and almost died. But she learned what God wanted her to learn from her trials, and was an incessant optimist. If you read her article, you will see those lessons on full display.
Her son Brian, a cousin I loved, ended his own life. Darla wrote a book about it: After My Son's Suicide
. This nearly perfect lady perhaps understandably struggled with perfectionism, but wrote an article about that too (Satan’s Counterfeit Gospel of Perfectionism
), prompting an Apostle of The Church of Jesus Christ of Latter-day Saints to quote her in General Conference, calling her an “insightful Latter-day Saint.”[1]
QUESTION: So why does God allow pain, illness, contagion, suffering, evil, death, loss, injustice, and all manner of wickedness amongst his children to torment our lives and afflict our hearts and minds?
ANSWER: To produce inspiring women of grace and love like those I’ve just described, through a refiners fire of facing and conquering all of the trials and tests of life. Truly they were loving daughters of a loving Father in Heaven.
And not to forget - God lets us men who are unworthy of such noble women learn from their example as we strive to overcome our own trials so we can be joined with the women we love and admire, eventually, in the unity of perfect love that our Father wants for each of us after we learn to embrace only that which is good (and leads to joy) and reject all that is evil (and leads to misery).
This life is our time to learn those lessons, through faith, study, pondering, and prayer.
Footnotes
[1] Be Ye Therefore Perfect—Eventually"
19e69465,"Sleeping too much (over 9 hours) is said to increase the risk of diabetes, heart disease, and stroke. What is the mechanism behind this?","The exact mechanism isn't known but this may be related to being sedentary, eating more, being overweight, having sleep apnoea, poor quality sleep, napping, having experienced chronic stress or depression, all of which increase the risk of metabolic syndrome.
‘The American Heart Association (AHA) describe metabolic syndrome
as a “cluster of metabolic disorders,” that includes high blood pressure
, high fasting glucose levels, and abdominal obesity
, which, combined, increase the risk of heart
disease
.’
Are you getting enough sleep… or too much? Sleep and
stroke
risk - Harvard Health Blog
Metabolic syndrome: Symptoms, diagnosis, and causes"
866de1b0,Why does cholesterol increase the risk factor for heart disease and stroke?,"Cholesterol is a type of fat found in many foods that come from animals, such as meat and dairy products. Your liver also makes it. Your body needs some cholesterol, but too much can block your arteries. That's why adults with high cholesterol are more likely to have heart attacks and stroke. Several health conditions, your lifestyle, and your age and family history can increase your risk for heart disease. These are called risk factors. About half of all Americans (47%) have at least 1 of 3 key risk factors for heart disease: high blood pressure, high cholesterol, and smoking. Go to my Profile and you can find all about Heart Disease material there..."
74ee0e9f,What's the best way to prevent the risk of a stroke or heart disease in a family that has a long history of such?,"don`t smoke, lose weight, exercise, eat healthy, control your blood pressure. Do it by changing your habits but if you don`t acchieve your goals you will have to take medicines also. So you need to do whatever everybody needs to do but … better. You have an increased risk for vascular disease and, since you cannot change your genes, you have to reduce your risk by changing anything that can be changed."
e0bdd8d1,"How do I overcome high blood pressure, stroke, and heart diseases in a natural way?","Losing your excess stored fat pounds and becoming leaner by moderately reducing your daily calorie intake, choosing to eat only healthy, fresh foods, avoiding alcohol, and adding exercise to your day (an hour’s worth of aerobic or resistance exercise) is the natural way to lower your blood pressure, and lower your risk of having a stroke or developing heart disease."
db6fad9a,Can suffering from a stroke be classified as one of the comorbidities of disease?,"Yes as you go from normal functioning to possible inability to move certain parts of your body or speak clearly. A comorbidity pertains to a disease that exists stimultaneously with or worsens or affect the primary disease but suffering is how your mind takes on the disease as part of how you handle the disease and not necessarily a comorbidity as this is an attitude. An attitude is not a disease unless the disease causes despair from suffering because you can’t communicate or move, both of which relate to the disease. You have a choice to suffer or not (by accepting the stroke) but it can lead to mental illness (despair or suicide).
One thing that will happen to anyone is the grief process as you learn to accept the primary disease and this will happen to anyone with loss of any kind. So there will be depression as part of the stages of grief like loosing a loved one (or a part of yourself) but this is temporary and leads to acceptance not. Dealing with a disease, it is wise to read Elisebeth Kubler Ross’s Five Stages of Grief and know that is a normal route for all of us when confronted with disease that we have difficulty handling."
1d57e5fe,"Are there any scientifically proven natural alternatives to Warfarin? I have a rare congenital blood clotting disease which requires me to be on Warfarin since that disease was first diagnosed in 2008, followed 8 weeks later by an ischemic stroke.","No. Warfarin is a very well understood drug. It's a mess to take, but it does exactly what it's supposed to. Any natural remedy that had the same level of precision would very quickly become a medical drug. However, many warfarin patients today switch to other, newer medical drugs that weren't around in 2008. Talk to your doctor about it would be my suggestion."
a8e19776,Is it dangerous to stroke a cat? Can you get a disease because of just touching a cat?,"Depends on the cat and what their body language looks like at the time. There are some exceptions to the rule, but in general the chart below is pretty accurate. For a strange cat, I would only pet between the 1–2 range on this chart. For a familiar cat, you can typically push it to the 3–4 range if trying to sooth the cat, however at this point I would call the cat and let them come to you if they *want* to. Never push pettings on a cat above 1–2 if they don't voluntarily come to you, or you risk making the cat feel trapped / man-handled.
For some cats their show of displeasure at being petted when they didn't really want to be is not all that offensive — if I pet or pick up my current cat when she wasn't really looking for that level of attention, she kinda squeaks like a toy and pouts. For my last cat, if you reached toward her when she wasn't ready, she would get very ornery, up to and including scratching.
So go slowly, and watch the cat’s body language. Remember to stroke from head to tail, never in reverse unless you know the cat and they are fond of such a thing — otherwise you may annoy them, especially directly after they've licked their coat clean, because you're ruining their “do”.
Oh — and don't let them smell your fear."
21b7b8e8,Does yoga solves heart problems?,"Yes.
Yoga has cure for many problems ,a man face in day to day life.
coming to the heart problems, there are different types of heart problems ,may be different symptoms, the best solution for this is PRANAYAMA.
There are many pranayama(think 7 related to reduce these heart problems), in which
Anulom vilom pranayama
kapalabathi pranayama can hep you a lot.
There are other pranayama even you can practise daily and can observe lot of improvement.
Pranayama is the breathing technique which
Remove the negative energy, toxins from our body and gives positive energy.
Pranayama improves the blood circulation, which is very important for the heart to pump properly.
Pranayama calms the mind
Cures anxiety and depression
.
Pranayama releases stress and depression.
Remove artery blockages
Seven pranayama for heart patients.
Bhastrika Pranayama
Kapalbhati Pranayama
Bahya pranayama
Anulom Vilom Pranayama and Nadi Shodhan
Bhramari Pranayama
Udggeth Pranayama
Pranav Pranayama
Yoga poses for heart patients.
Uttanapadasana
Pavanamuktasana
Shavasana
I think shavasana is the easiest asana one can practise daily.
caution: don't sleep in savasana:P (almost every one does in the starting).Just try to concentrate only on your breath.
people who have heart problems should not practise these asanas.
paripurna navasana
Utthita Trikonasana
For breathing exercises,to know about pranayama and benefits refer to this link Seven Pranayama, Breathing Exercises and Benefits
And there will be a lot of difference if change your diet with yoga.
I personally attended yoga classes and saw many people who had major diseases like cancer,heart diseases and people who have problems in their kidneys, gallbladder, and many more people with different problems got cured and living happily:)
Hope it helps.
source,image source:Google"
c515d963,"Is COVID-19 a disease of clots, strokes, and rashes?","Many autopsies suggest that. A lot of clots, strokes, and rashes may have been coming anyway in patients predisposed to those conditions. I bet if there were autopsies performed on traffic deaths we might still find those 3 conditions because most of the western world populations are predisposed to these conditions being gluten and oil consumers which are part of the rashes, clots, and strokes. It’s like asking is COVID a disease of grey hair? On the surface yep."
